NO. OF CHILDREN,UNEMPLOYED PARENTS,FINANCIAL INCOME,YEAR,PERCENTAGE,POVERTY RATES IN EDUCATION
10000500870,248,113,2018-2019,34.260194,-86.206174
10000500871,273,123,2018-2019,34.262226,-86.204884
10000500879,172,87,2018-2019,34.273318,-86.220144
10000500889,217,95,2018-2019,34.2527,-86.221806
10000501616,474,124,2018-2019,34.289849,-86.193289
10000502150,216,92,2018-2019,34.253277,-86.22177
10000600193,294,45,2018-2019,34.533721,-86.254088
10000600872,218,115,2018-2019,34.362549,-86.142019
10000600876,253,104,2018-2019,34.406886,-86.270361
10000600877,187,48,2018-2019,34.176234,-86.321259
10000600878,187,48,2018-2019,34.176236,-86.321321
10000600880,325,107,2018-2019,34.344516,-86.442078
10000600883,294,46,2018-2019,34.534341,-86.254087
10000600887,313,92,2018-2019,34.399966,-86.446812
10000600986,312,139,2018-2019,34.305448,-86.285854
10000600987,312,139,2018-2019,34.305448,-86.285854
10000601413,187,49,2018-2019,34.176774,-86.322507
10000601585,333,78,2018-2019,34.3764,-86.421876
10000601685,294,46,2018-2019,34.534339,-86.254152
10000601812,195,50,2018-2019,34.177536,-86.320895
10000602209,217,113,2018-2019,34.362734,-86.141422
10000700091,558,143,2018-2019,33.340886,-86.844733
10000700248,633,65,2018-2019,33.413047,-86.658547
10000700251,593,120,2018-2019,33.34437,-86.837683
10000700337,551,107,2018-2019,33.395648,-86.73218
10000700342,544,92,2018-2019,33.337527,-86.87839
10000701422,507,128,2018-2019,33.330923,-86.854796
10000701456,515,85,2018-2019,33.39271,-86.728785
10000701483,473,100,2018-2019,33.363896,-86.867364
10000701738,273,88,2018-2019,33.409579,-86.853755
10000701739,281,104,2018-2019,33.395712,-86.808822
10000701740,400,148,2018-2019,33.388151,-86.831233
10000701741,449,165,2018-2019,33.387895,-86.833672
10000701742,506,142,2018-2019,33.409144,-86.766806
10000701743,363,108,2018-2019,33.426801,-86.824411
10000702091,499,152,2018-2019,33.359591,-86.812865
10000702186,571,79,2018-2019,33.344122,-86.88919
10000702359,536,140,2018-2019,33.337604,-86.840932
10000800303,444,129,2018-2019,34.705817,-86.713709
10000800495,457,127,2018-2019,34.740814,-86.742697
10000800831,500,130,2018-2019,34.719158,-86.742545
10000800839,472,126,2018-2019,34.697454,-86.750464
10000800851,498,103,2018-2019,34.721194,-86.751155
10000801423,542,94,2018-2019,34.721075,-86.783233
10000801485,340,117,2018-2019,34.751223,-86.733057
10000801798,473,83,2018-2019,34.73367,-86.779197
10000802097,547,74,2018-2019,34.734315,-86.766046
10000802133,519,101,2018-2019,34.701186,-86.772013
10000802198,560,66,2018-2019,34.705886,-86.791802
10000901403,177,79,2018-2019,33.43196,-86.098534
10000901404,289,111,2018-2019,33.433574,-86.089689
10000901405,209,103,2018-2019,33.427279,-86.117477
10000901406,193,97,2018-2019,33.42544,-86.117706
10000902231,173,113,2018-2019,34.722432,-86.590455
10001102094,283,79,2018-2019,33.545156,-86.548094
10001102095,281,66,2018-2019,33.54936,-86.536894
10001102096,228,58,2018-2019,33.547574,-86.574182
10001102430,247,63,2018-2019,33.54287,-86.564311
10001200123,195,76,2018-2019,34.212226,-86.157934
10001200874,201,79,2018-2019,34.211786,-86.163919
10001200884,229,81,2018-2019,34.204839,-86.175473
10001201630,204,81,2018-2019,34.213525,-86.161345
10001201781,249,93,2018-2019,34.20647,-86.178087
10001300714,402,97,2018-2019,33.655829,-86.593651
10001301498,378,91,2018-2019,33.649323,-86.567607
10001301682,444,97,2018-2019,33.665684,-86.590765
10001302401,374,111,2018-2019,33.599544,-86.623626
10001302402,348,88,2018-2019,33.629258,-86.603955
10001501827,215,125,2018-2019,32.11162,-87.077608
10001502118,130,68,2018-2019,32.374794,-86.304436
